Election_Id,Election_State,ONS_Constituency_Id,ONS_Region_Id,Constituency_Name,Region_Name,Country_Name,Constituency_Type,Declaration_Time,Winning_Candidate_Given_Name,Winning_Candidate_Family_Name,Winning_Candidate_Gender_Name,Short_Result_Summary,Long_Result_Summary,First_Placed_Party,Second_Placed_Party,Electorate,Valid_Votes,Invalid_Votes,Majority
3784,Full results,E14001500,E12000008,Southampton Test,South East,England,Borough,,Satvir,Kaur,Female,Lab hold,Labour hold,Labour,Conservative,65520,35805,160,9333
3785,Full results,E14001501,E12000006,Southend East and Rochford,East of England,England,County,,Bayo,Alaba,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70217,39656,145,4027
3786,Full results,E14001502,E12000006,Southend West and Leigh,East of England,England,Borough,,David,Burton-Sampson,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,75154,46968,163,1949
3787,Full results,E14001503,E12000007,Southgate and Wood Green,London,England,Borough,,Bambos,Charalambous,Male,Lab hold,Labour hold,Labour,Conservative,77542,45671,256,15300
3788,Full results,E14001504,E12000002,Southport,North West,England,County,,Patrick,Hurley,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,73641,45059,127,5789
3789,Full results,E14001505,E12000008,Spelthorne,South East,England,Borough,,Lincoln,Jopp,Male,Con hold,Conservative hold,Conservative,Labour,73782,46166,144,1590
3790,Full results,E14001506,E12000003,Spen Valley,Yorkshire and The Humber,England,Borough,,Kim,Leadbeater,Female,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,72642,41058,137,6188
3791,Full results,E14001507,E12000006,St Albans,East of England,England,County,,Daisy,Cooper,Female,LD hold,Liberal Democrat hold,Liberal Democrat,Conservative,72739,51614,203,19834
3792,Full results,E14001508,E12000009,St Austell and Newquay,South West,England,County,,Noah,Law,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,76076,46732,130,2470
3793,Full results,E14001509,E12000002,St Helens North,North West,England,County,,David,Baines,Male,Lab hold,Labour hold,Labour,Reform UK,75483,40474,155,12169
3794,Full results,E14001510,E12000002,St Helens South and Whiston,North West,England,Borough,,Marie,Rimmer,Female,Lab hold,Labour hold,Labour,Reform UK,71569,38035,85,11945
3795,Full results,E14001511,E12000009,St Ives,South West,England,County,,Andrew,George,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,69978,48106,150,13786
3796,Full results,E14001512,E12000006,St Neots and Mid Cambridgeshire,East of England,England,County,,Ian,Sollom,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,78115,52882,138,4621
3797,Full results,E14001513,E12000005,Stafford,West Midlands,England,County,,Leigh,Ingham,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70608,46009,160,4595
3798,Full results,E14001514,E12000005,Staffordshire Moorlands,West Midlands,England,County,,Karen,Bradley,Female,Con hold,Conservative hold,Conservative,Labour,69892,43302,188,1175
3799,Full results,E14001515,E12000002,Stalybridge and Hyde,North West,England,County,,Jonathan,Reynolds,Male,Lab hold,Labour hold,Labour,Reform UK,72265,37239,117,8539
3800,Full results,E14001516,E12000006,Stevenage,East of England,England,County,,Kevin,Bonavia,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70976,42715,155,6618
3801,Full results,S14000105,S92000003,Stirling and Strathallan,,Scotland,County,,Chris,Kane,Male,Lab gain from SNP,Labour gain from Scottish National Party,Labour,Scottish National Party,76284,49782,242,1394
3802,Full results,E14001517,E12000002,Stockport,North West,England,Borough,,Navendu,Mishra,Male,Lab hold,Labour hold,Labour,Reform UK,76632,43683,185,15270
3803,Full results,E14001518,E12000001,Stockton North,North East,England,County,,Chris,McDonald,Male,Lab hold,Labour hold,Labour,Reform UK,70242,37401,125,7939
3804,Full results,E14001519,E12000001,Stockton West,North East,England,County,,Matt,Vickers,Male,Con hold,Conservative hold,Conservative,Labour,71868,48638,114,2139
3805,Full results,E14001520,E12000005,Stoke-on-Trent Central,West Midlands,England,Borough,,Gareth,Snell,Male,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,73812,35289,137,6409
3806,Full results,E14001521,E12000005,Stoke-on-Trent North,West Midlands,England,Borough,,David,Williams,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,69854,36150,103,5082
3807,Full results,E14001522,E12000005,Stoke-on-Trent South,West Midlands,England,County,,Allison,Gardner,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70002,40942,120,627
3808,Full results,E14001523,E12000005,"Stone, Great Wyrley and Penkridge",West Midlands,England,County,,Gavin,Williamson,Male,Con hold,Conservative hold,Conservative,Labour,71561,42770,727,5466
3809,Full results,E14001524,E12000005,Stourbridge,West Midlands,England,Borough,,Cat,Eccles,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,68311,39878,113,3073
3810,Full results,N05000016,N92000002,Strangford,,Northern Ireland,County,,Jim,Shannon,Male,DUP hold,Democratic Unionist Party hold,Democratic Unionist Party,Alliance,74525,38909,135,5131
3811,Full results,E14001525,E12000007,Stratford and Bow,London,England,Borough,,Uma,Kumaran,Female,Lab hold,Labour hold,Labour,Green Party,80735,43435,287,11634
3812,Full results,E14001526,E12000005,Stratford-on-Avon,West Midlands,England,County,,Manuela,Perteghella,Female,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,75714,52959,179,7122
3813,Full results,E14001527,E12000007,Streatham and Croydon North,London,England,Borough,,Steve,Reed,Male,Lab hold,Labour hold,Labour,Green Party,76313,44553,190,15603
3814,Full results,E14001528,E12000002,Stretford and Urmston,North West,England,Borough,,Andrew,Western,Male,Lab hold,Labour hold,Labour,Conservative,75153,46002,168,16150
3815,Full results,E14001529,E12000009,Stroud,South West,England,County,,Simon,Opher,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,77905,55221,227,11388
3816,Full results,E14001530,E12000006,Suffolk Coastal,East of England,England,County,,Jenny,Riddell-Carpenter,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74522,49451,189,1070
3817,Full results,E14001531,E12000001,Sunderland Central,North East,England,Borough,,Lewis,Atkinson,Male,Lab hold,Labour hold,Labour,Reform UK,76145,39957,99,6073
3818,Full results,E14001532,E12000008,Surrey Heath,South East,England,County,,Al,Pinkerton,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,71934,47788,140,5640
3819,Full results,E14001533,E12000008,Sussex Weald,South East,England,County,,Nus,Ghani,Female,Con hold,Conservative hold,Conservative,Liberal Democrat,72885,49175,190,6842
3820,Full results,E14001534,E12000007,Sutton and Cheam,London,England,Borough,,Luke,Taylor,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,72303,47606,139,3801
3821,Full results,E14001535,E12000005,Sutton Coldfield,West Midlands,England,Borough,,Andrew,Mitchell,Male,Con hold,Conservative hold,Conservative,Labour,74080,48333,172,2543
3822,Full results,W07000108,W92000004,Swansea West,,Wales,County,,Torsten,Bell,Male,Lab hold,Labour hold,Labour,Reform UK,74236,35657,130,8515
3823,Full results,E14001536,E12000009,Swindon North,South West,England,County,,Will,Stone,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,73224,44165,124,4103
3824,Full results,E14001537,E12000009,Swindon South,South West,England,Borough,,Heidi,Alexander,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,72575,44794,147,9606
3825,Full results,E14001538,E12000005,Tamworth,West Midlands,England,County,,Sarah,Edwards,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,75055,43788,116,1382
3826,Full results,E14001539,E12000002,Tatton,North West,England,County,,Esther,McVey,Female,Con hold,Conservative hold,Conservative,Labour,75978,51909,198,1136
3827,Full results,E14001540,E12000009,Taunton and Wellington,South West,England,County,,Gideon,Amos,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,78680,50294,167,11939
3828,Full results,E14001541,E12000005,Telford,West Midlands,England,Borough,,Shaun,Davies,Male,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,73808,40730,148,8102
3829,Full results,E14001542,E12000009,Tewkesbury,South West,England,County,,Cameron,Thomas,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,73458,48539,150,6262
3830,Full results,E14001543,E12000005,The Wrekin,West Midlands,England,County,,Mark,Pritchard,Male,Con hold,Conservative hold,Conservative,Labour,78942,50020,163,883
3831,Full results,E14001544,E12000003,Thirsk and Malton,Yorkshire and The Humber,England,County,,Kevin,Hollinrake,Male,Con hold,Conservative hold,Conservative,Labour,78468,49797,169,7550
3832,Full results,E14001545,E12000009,Thornbury and Yate,South West,England,County,,Claire,Young,Female,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,78192,53367,148,3014
3833,Full results,E14001546,E12000006,Thurrock,East of England,England,Borough,,Jen,Craft,Female,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,73392,37558,97,6474
3834,Full results,E14001547,E12000005,Tipton and Wednesbury,West Midlands,England,Borough,,Antonia,Bance,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74098,31850,139,3385
3835,Full results,E14001548,E12000009,Tiverton and Minehead,South West,England,County,,Rachel,Gilmour,Female,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,72087,47491,197,3507
3836,Full results,E14001549,E12000008,Tonbridge,South East,England,County,,Tom,Tugendhat,Male,Con hold,Conservative hold,Conservative,Labour,72799,50328,150,11166
3837,Full results,E14001550,E12000007,Tooting,London,England,Borough,,Rosena,Allin-Khan,Female,Lab hold,Labour hold,Labour,Conservative,76168,52943,255,19487
3838,Full results,E14001551,E12000009,Torbay,South West,England,Borough,,Steve,Darling,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,76185,46115,110,5349
3839,Full results,W07000109,W92000004,Torfaen,,Wales,County,,Nick,Thomas-Symonds,Male,Lab hold,Labour hold,Labour,Reform UK,71738,35705,117,7322
3840,Full results,E14001552,E12000009,Torridge and Tavistock,South West,England,County,,Geoffrey,Cox,Male,Con hold,Conservative hold,Conservative,Liberal Democrat,74727,50820,170,3950
3841,Full results,E14001553,E12000007,Tottenham,London,England,Borough,,David,Lammy,Male,Lab hold,Labour hold,Labour,Green Party,75906,40148,250,15434
3842,Full results,E14001554,E12000009,Truro and Falmouth,South West,England,County,,Jayne,Kirkham,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,72982,50264,163,8151
3843,Full results,E14001555,E12000008,Tunbridge Wells,South East,England,County,,Mike,Martin,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,78738,54250,191,8687
3844,Full results,E14001556,E12000007,Twickenham,London,England,Borough,,Munira,Wilson,Female,LD hold,Liberal Democrat hold,Liberal Democrat,Conservative,74980,53635,226,21457
3845,Full results,E14001557,E12000001,Tynemouth,North East,England,Borough,,Alan,Campbell,Male,Lab hold,Labour hold,Labour,Conservative,73194,48418,136,15455
3846,Full results,N05000017,N92000002,Upper Bann,,Northern Ireland,County,,Carla,Lockhart,Female,DUP hold,Democratic Unionist Party hold,Democratic Unionist Party,Sinn Féin,81249,47358,241,7406
3847,Full results,E14001558,E12000007,Uxbridge and South Ruislip,London,England,Borough,,Danny,Beales,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74745,45914,175,587
3848,Full results,W07000110,W92000004,Vale of Glamorgan,,Wales,County,,Kanishka,Narayan,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74465,45826,139,4216
3849,Full results,E14001559,E12000007,Vauxhall and Camberwell Green,London,England,Borough,,Florence,Eshalomi,Female,Lab hold,Labour hold,Labour,Green Party,69652,37536,261,15112
3850,Full results,E14001560,E12000003,Wakefield and Rothwell,Yorkshire and The Humber,England,Borough,,Simon,Lightwood,Male,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,75067,40656,112,9346
3851,Full results,E14001561,E12000002,Wallasey,North West,England,Borough,,Angela,Eagle,Female,Lab hold,Labour hold,Labour,Reform UK,74082,42746,168,17996
3852,Full results,E14001562,E12000005,Walsall and Bloxwich,West Midlands,England,Borough,,Valerie,Vaz,Female,Lab gain from Con,Labour gain from Conservative,Labour,,74951,37191,141,4914
3853,Full results,E14001563,E12000007,Walthamstow,London,England,Borough,,Stella,Creasy,Female,Lab hold,Labour hold,Labour,Green Party,74474,45668,255,17996
3854,Full results,E14001564,E12000002,Warrington North,North West,England,County,,Charlotte,Nichols,Female,Lab hold,Labour hold,Labour,Reform UK,70601,40041,125,9190
3855,Full results,E14001565,E12000002,Warrington South,North West,England,County,,Sarah,Hall,Female,Lab hold,Labour hold,Labour,Conservative,78394,49672,192,11340
3856,Full results,E14001566,E12000005,Warwick and Leamington,West Midlands,England,County,,Matt,Western,Male,Lab hold,Labour hold,Labour,Conservative,76294,49198,245,12412
3857,Full results,E14001567,E12000001,Washington and Gateshead South,North East,England,Borough,,Sharon,Hodgson,Female,Lab hold,Labour hold,Labour,Reform UK,70972,37021,100,6913
3858,Full results,E14001568,E12000006,Watford,East of England,England,Borough,,Matt,Turmaine,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,73100,44455,192,4723
3859,Full results,E14001569,E12000006,Waveney Valley,East of England,England,County,,Adrian,Ramsay,Male,Green gain from Con,Green Party gain from Conservative,Green Party,Conservative,73056,49072,131,5594
3860,Full results,E14001570,E12000008,Weald of Kent,South East,England,County,,Katie,Lam,Female,Con hold,Conservative hold,Conservative,Labour,75987,50712,257,8422
3861,Full results,E14001571,E12000004,Wellingborough and Rushden,East Midlands,England,County,,Gen,Kitchen,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,77542,43985,145,5486
3862,Full results,E14001572,E12000009,Wells and Mendip Hills,South West,England,County,,Tessa,Munt,Female,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,73538,50368,149,11121
3863,Full results,E14001573,E12000006,Welwyn Hatfield,East of England,England,County,,Andrew,Lewin,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,75259,48455,192,3799
3864,Full results,S14000111,S92000003,West Aberdeenshire and Kincardine,,Scotland,County,,Andrew,Bowie,Male,Con hold,Conservative hold,Conservative,Scottish National Party,72994,48958,161,3441
3865,Full results,E14001574,E12000005,West Bromwich,West Midlands,England,Borough,,Sarah,Coombes,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74025,36481,136,9554
3866,Full results,E14001575,E12000009,West Dorset,South West,England,County,,Edward,Morello,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,75998,52605,618,7789
3867,Full results,S14000106,S92000003,West Dunbartonshire,,Scotland,County,,Douglas,McAllister,Male,Lab gain from SNP,Labour gain from Scottish National Party,Labour,Scottish National Party,69074,39584,123,6010
3868,Full results,E14001576,E12000007,West Ham and Beckton,London,England,Borough,,James,Asser,Male,Lab hold,Labour hold,Labour,Newham Independents Party,78964,36348,149,9254
3869,Full results,E14001577,E12000002,West Lancashire,North West,England,County,,Ashley,Dalton,Female,Lab hold,Labour hold,Labour,Conservative,74081,44200,224,13625
3870,Full results,E14001578,E12000006,West Suffolk,East of England,England,County,,Nick,Timothy,Male,Con hold,Conservative hold,Conservative,Labour,77145,46161,173,3247
3871,Full results,N05000018,N92000002,West Tyrone,,Northern Ireland,County,,Órfhlaith,Begley,Female,SF hold,Sinn Féin hold,Sinn Féin,Democratic Unionist Party,74269,43695,262,15917
3872,Full results,E14001579,E12000005,West Worcestershire,West Midlands,England,County,,Harriett,Baldwin,Female,Con hold,Conservative hold,Conservative,Liberal Democrat,79246,54687,191,6547
3873,Full results,E14001580,E12000002,Westmorland and Lonsdale,North West,England,County,,Tim,Farron,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,72029,49533,115,21472
3874,Full results,E14001581,E12000009,Weston-super-Mare,South West,England,County,,Daniel,Aldridge,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,71396,42390,143,4409
3875,Full results,E14001582,E12000003,Wetherby and Easingwold,Yorkshire and The Humber,England,County,,Alec,Shelbrooke,Male,Con hold,Conservative hold,Conservative,Labour,74314,52259,171,4846
3876,Full results,E14001583,E12000002,Whitehaven and Workington,North West,England,County,,Josh,MacAlister,Male,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,73198,41840,159,13286
3877,Full results,E14001584,E12000002,Widnes and Halewood,North West,England,County,,Derek,Twigg,Male,Lab hold,Labour hold,Labour,Reform UK,70161,38116,95,16425
3878,Full results,E14001585,E12000002,Wigan,North West,England,County,,Lisa,Nandy,Female,Lab hold,Labour hold,Labour,Reform UK,77538,40899,124,9549
3879,Full results,E14001586,E12000007,Wimbledon,London,England,Borough,,Paul,Kohler,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,76334,54985,171,12610
3880,Full results,E14001587,E12000008,Winchester,South East,England,County,,Danny,Chambers,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,78289,57076,185,13821
3881,Full results,E14001588,E12000008,Windsor,South East,England,County,,Jack,Rankin,Male,Con hold,Conservative hold,Conservative,Labour,73334,45246,173,6457
3882,Full results,E14001589,E12000002,Wirral West,North West,England,County,,Matthew,Patrick,Male,Lab hold,Labour hold,Labour,Conservative,72838,49951,187,9998
3883,Full results,E14001590,E12000006,Witham,East of England,England,County,,Priti,Patel,Female,Con hold,Conservative hold,Conservative,Labour,78991,50603,171,5145
3884,Full results,E14001591,E12000008,Witney,South East,England,County,,Charles,Maynard,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,75448,50584,158,4339
3885,Full results,E14001592,E12000008,Woking,South East,England,Borough,,Will,Forster,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,72969,48145,171,11246
3886,Full results,E14001593,E12000008,Wokingham,South East,England,County,,Clive,Jones,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,75082,53999,199,8345
3887,Full results,E14001594,E12000005,Wolverhampton North East,West Midlands,England,Borough,,Sureena,Brackenridge,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70715,33289,107,5422
3888,Full results,E14001595,E12000005,Wolverhampton South East,West Midlands,England,Borough,,Pat,McFadden,Male,Lab hold,Labour hold,Labour,Reform UK,77473,33382,129,9188
3889,Full results,E14001596,E12000005,Wolverhampton West,West Midlands,England,Borough,,Warinder,Juss,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,77851,43657,153,7868
3890,Full results,E14001597,E12000005,Worcester,West Midlands,England,Borough,,Tom,Collins,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74931,46036,179,7116
3891,Full results,E14001598,E12000002,Worsley and Eccles,North West,England,County,,Michael,Wheeler,Male,Lab hold,Labour hold,Labour,Reform UK,78643,42543,164,11091
3892,Full results,E14001599,E12000008,Worthing West,South East,England,County,,Beccy,Cooper,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,77039,50997,178,3949
3893,Full results,W07000111,W92000004,Wrexham,,Wales,County,,Andrew,Ranger,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70269,40373,128,5948
3894,Full results,E14001600,E12000008,Wycombe,South East,England,County,,Emma,Reynolds,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,73415,44637,174,4591
3895,Full results,E14001601,E12000005,Wyre Forest,West Midlands,England,County,,Mark,Garnier,Male,Con hold,Conservative hold,Conservative,Labour,77329,45158,137,812
3896,Full results,E14001602,E12000002,Wythenshawe and Sale East,North West,England,Borough,,Mike,Kane,Male,Lab hold,Labour hold,Labour,Reform UK,77767,39132,142,14610
3897,Full results,E14001603,E12000009,Yeovil,South West,England,County,,Adam,Dance,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,79918,48952,109,12268
3898,Full results,W07000112,W92000004,Ynys Môn,,Wales,County,,Llinos,Medi,Female,PC gain from Con,Plaid Cymru gain from Conservative,Plaid Cymru,Conservative,53141,32628,79,637
3899,Full results,E14001604,E12000003,York Central,Yorkshire and The Humber,England,Borough,,Rachael,Maskell,Female,Lab hold,Labour hold,Labour,Conservative,79557,43323,228,19154
3900,Full results,E14001605,E12000003,York Outer,Yorkshire and The Humber,England,County,,Luke,Charters,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,76228,51106,184,9391
