By-election date,Writ date,ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,BRX,UKIP,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
03/05/2018,28/03/2018,N06000018,N92000002,West Tyrone,Northern Ireland,Northern Ireland,Northern Ireland,County,,Órfhlaith,Begley,F,SF hold,SF,DUP,64101,35029,305,7956,0,0,0,0,0,0,0,0,8390,16346,6254,2909,1130,0,0
14/06/2018,10/05/2018,E14000787,E12000007,Lewisham East,London,London,England,Borough,,Janet Jessica,Daby,F,Lab hold,Lab,LD,66140,21979,67,5629,3161,11033,5404,0,380,788,0,0,0,0,0,0,0,1213,0
04/04/2019,28/02/2019,W07000056,W92000004,Newport West,Newport,Wales,Wales,County,,Ruth Lorraine,Jones,F,Lab hold,Lab,Con,63623,23515,100,1951,7357,9308,1088,0,2023,924,0,1185,0,0,0,0,0,1630,0
06/06/2019,02/05/2019,E14000878,E12000006,Peterborough,Cambridgeshire,East,England,Borough,,Lisa,Forbes,F,Lab hold,Lab,Brexit,70199,33920,77,683,7243,10484,4159,9801,400,1035,0,0,0,0,0,0,0,798,0
01/08/2019,27/06/2019,W07000068,W92000004,Brecon and Radnorshire,Wales,Wales,Wales,County,,Jane,Dodds,F,LD gain,LD,Con,53393,31814,73,1425,12401,1680,13826,3331,242,0,0,0,0,0,0,0,0,334,0
